TipType	TipTemplateId	Notice	zh_CN	en_US	pt_BR	ru_RU	ko_KR	de_DE	fr_FR	es_ES	it_IT	in_ID	th_TH	tr_TR	vi_VN	ja_JP	pl_PL
128	JailBreakPoliceKillPrisoner		▢FFFEFE49警察杀死绿名囚犯会扣除功勋，扣完后会被关禁闭	▢FFFEFE49 Killing Prisoners will make your Merit deducted	▢FFFEFE49 Matar prisioneiros fará o seu mérito deduzido	▢FFFEFE49 Убийство Заключенных приведет к потере вашей Заслуги	▢FFFEFE49 Killing Prisoners will make your Merit deducted	▢FFFEFE49 Killing Prisoners will make your Merit deducted	▢FFFEFE49 Killing Prisoners will make your Merit deducted	▢FFFEFE49 Killing Prisoners will make your Merit deducted	▢FFFEFE49 Killing Prisoners will make your Merit deducted	▢FFFEFE49 Membunuh tawanan akan mengurangi pahala anda	▢FFFEFE49ตำรวจได้ฆ่านักโทษเขียวตายจะหักค่าคุณูปการจะหักค่าคุณูปการออก หลังหักหมดแล้วจะถูกกักขัง	▢FFFEFE49 Killing Prisoners will make your Merit deducted	▢FFFEFE49 Killing Prisoners will make your Merit deducted	▢FFFEFE49警察は緑の囚人を殺すメリットを差し引く、控除後に閉鎖されます	▢FFFEFE49Zabijanie więźniów odliczy twoje zasługi
129	JailBreakPoliceRob		▢FFFEFE49警察抢劫会扣除功勋，扣完后会被关禁闭	▢FFFEFE49 Robbery will will make your Merit deducted	▢FFFEFE49 O roubo fará com que seu mérito seja deduzido	▢FFFEFE49 Ограбление приведет к потере вашей Заслуги	▢FFFEFE49 Robbery will will make your Merit deducted	▢FFFEFE49 Robbery will will make your Merit deducted	▢FFFEFE49 Robbery will will make your Merit deducted	▢FFFEFE49 Robbery will will make your Merit deducted	▢FFFEFE49 Robbery will will make your Merit deducted	▢FFFEFE49 Perampokan akan membuat pahala anda berkurang	▢FFFEFE499ตำรวจปล้นค่าคุณูปการออก หลังหักหมดแล้วจะถูกกักขัง	▢FFFEFE49 Robbery will will make your Merit deducted	▢FFFEFE49 Robbery will will make your Merit deducted	▢FFFEFE49警察強盗はメリットを差し引きます、控除後に閉鎖されます	▢FFFEFE49Rozbój sprawi, że Twoje Zasiłki zostaną odjęte
130	 ZombieHunterMsgToSoilderStart		▢FF0000FF你将会在5秒后转换成僵尸猎手，请做好准备	▢FF0000FFYou’ll become Zombie Hunter. Be prepared	▢FF0000FFVocê se tornará Caçador de Zumbis. Esteja preparado	▢FF0000FFВы станете Охотником на Зомби. Приготовьтесь	▢FF0000FFYou’ll become Zombie Hunter. Be prepared	▢FF0000FFYou’ll become Zombie Hunter. Be prepared	▢FF0000FFYou’ll become Zombie Hunter. Be prepared	▢FF0000FFYou’ll become Zombie Hunter. Be prepared	▢FF0000FFYou’ll become Zombie Hunter. Be prepared	▢FF0000FFAnda akan menjadi Pemburu Zombie. Bersedialah	▢FF0000FFคุณจะเปลี่ยนเป็นนักล่าสัตว์ซากศพหลัง5วินาที โปรดเตรียมตัวไว้	▢FF0000FFYou’ll become Zombie Hunter. Be prepared	▢FF0000FFYou’ll become Zombie Hunter. Be prepared	▢FF0000FFあなたは5秒後にゾンビハンターに変換されます、準備してください	▢FF0000FFZostaniesz Łowcą Zombie. Być przygotowanym
131	ZombieHunterMsgToZombieStart		▢FF0000FF僵尸猎手即将出现，准备围攻	▢FF0000FFBe aware of Zombie Hunter!	▢FF0000FFEsteja ciente do caçador de zumbi!	▢FF0000FFНе попадайтесь на глаза Охотнику на Зомби!	▢FF0000FFBe aware of Zombie Hunter!	▢FF0000FFBe aware of Zombie Hunter!	▢FF0000FFBe aware of Zombie Hunter!	▢FF0000FFBe aware of Zombie Hunter!	▢FF0000FFBe aware of Zombie Hunter!	▢FF0000FFBerhati-hatilah dengan Pemburu Zombie	▢FF0000FFนักล่าสัตว์ซากศพใกล้จะออกมา เตรียมที่จะล้อมโจมตี	▢FF0000FFBe aware of Zombie Hunter!	▢FF0000FFBe aware of Zombie Hunter!	▢FF0000FFゾンビハンターが登場し、包囲の準備が整いました	▢FF0000FFBędziesz świadomy Zombie Hunter!
132	ZombieHunterMsgToSoilderEnd		▢FF0000FF你已重装上阵，开始反击	▢FF0000FFYou’ve got reinforced. Slay them down!	▢FF0000FFVocê foi reforçado. Mate-os!	▢FF0000FFВы подкрепились. Убейте их всех!	▢FF0000FFYou’ve got reinforced. Slay them down!	▢FF0000FFYou’ve got reinforced. Slay them down!	▢FF0000FFYou’ve got reinforced. Slay them down!	▢FF0000FFYou’ve got reinforced. Slay them down!	▢FF0000FFYou’ve got reinforced. Slay them down!	▢FF0000FFAnda diperkuat. Bunuh mereka!	▢FF0000FFคุณได้เตรียมตัวออกมาใหม่ เริ่มตีโต้	▢FF0000FFYou’ve got reinforced. Slay them down!	▢FF0000FFYou’ve got reinforced. Slay them down!	▢FF0000FF、あなたはリロードし、反撃し始めました.	▢FF0000FFZostałeś wzmocniony. Zabij ich!
133	ZombieHunterMsgToZombieEnd		▢FF0000FF僵尸猎手出现了	▢FF0000FFZombie Hunter showed up!	▢FF0000FFZumbi caçador apareceu!	▢FF0000FFПоявился Охотник на Зомби!	▢FF0000FFZombie Hunter showed up!	▢FF0000FFZombie Hunter showed up!	▢FF0000FFZombie Hunter showed up!	▢FF0000FFZombie Hunter showed up!	▢FF0000FFZombie Hunter showed up!	▢FF0000FFPemburu Zombie telah muncul!	▢FF0000FFนักล่าสัตว์ซากศพออกมาแล้ว	▢FF0000FFZombie Hunter showed up!	▢FF0000FFZombie Hunter showed up!	▢FF0000FFゾンビハンター登場	UpFF0000FFZombie Hunter pojawił się!
134	SandDigger		夺宝奇兵	Treasure Hunter	Caçador de tesouros	Treasure Hunter	Treasure Hunter	Treasure Hunter	Treasure Hunter	Treasure Hunter	Treasure Hunter	Treasure Hunter	Treasure Hunter	Treasure Hunter	Treasure Hunter	Treasure Hunter	Treasure Hunter
135	SandDiggerBreakDown		矿井还有▢FFFF0000%1s秒▢FFFFFFFF崩塌	The mine will ▢FFFFFFFFcollapse in▢FFFF0000%1s	A mina irá▢FFFFFFFFcolocar em▢FFFF0000%1s	Шахта будет ▢FFFFFFFFввостановлена через▢FFFF0000%1s	The mine will ▢FFFFFFFFcollapse in▢FFFF0000%1s	The mine will ▢FFFFFFFFcollapse in▢FFFF0000%1s	The mine will ▢FFFFFFFFcollapse in▢FFFF0000%1s	The mine will ▢FFFFFFFFcollapse in▢FFFF0000%1s	The mine will ▢FFFFFFFFcollapse in▢FFFF0000%1s	Tambang akan runtuh dalam ▢FFFF0000%1s detik	บ่อเหมืองยังเหลือ▢FFFF0000%1sวินาทีพังทลาย	The mine will ▢FFFFFFFFcollapse in▢FFFF0000%1s	The mine will ▢FFFFFFFFcollapse in▢FFFF0000%1s	鉱山にはまだ▢FFFF0000%1s秒▢FFFFFFFFがあります.	Kopalnia będzie FFFFFFFFFFcollapse in▢FFFF0000%1s
136	SandDiggerOpenChest		▢FF0000FF%1s▢FFFFFFFF打开了%2s	▢FF0000FF%1s▢FFFFFFFFhas opened%2s	▢FF0000FF%1s▢FFFFFFFF abriu%2s	▢FF0000FF%1s▢FFFFFFFFоткрыл(-а)%2s	▢FF0000FF%1s▢FFFFFFFFhas opened%2s	▢FF0000FF%1s▢FFFFFFFFhas opened%2s	▢FF0000FF%1s▢FFFFFFFFhas opened%2s	▢FF0000FF%1s▢FFFFFFFFhas opened%2s	▢FF0000FF%1s▢FFFFFFFFhas opened%2s	▢FF0000FF%1s▢FFFFFFFFtelah terbuka%2s	▢FF0000FF%1s▢FFFFFFFFเปิดแล้ว%2s	▢FF0000FF%1s▢FFFFFFFFhas opened%2s	▢FF0000FF%1s▢FFFFFFFFhas opened%2s	▢FF0000FF%1s▢FFFFFFFF開く%2s	▢FF0000FF%1s▢FFFFFFFFh otworzył%2s
137	SandDiggerDeep		深度 - ▢FF0000FF %1s ▢FFFFFFFF▢FFFF0000	Depth - ▢FF0000FF %1s ▢FFFFFFFF               ▢FFFF0000	Profundidade -▢FF0000FF%1s▢FFFFFFFF                   ▢FFFF0000	Глубина - ▢FF0000FF %1s ▢FFFFFFFF               ▢FFFF0000	Depth - ▢FF0000FF %1s ▢FFFFFFFF               ▢FFFF0000	Depth - ▢FF0000FF %1s ▢FFFFFFFF               ▢FFFF0000	Depth - ▢FF0000FF %1s ▢FFFFFFFF               ▢FFFF0000	Depth - ▢FF0000FF %1s ▢FFFFFFFF               ▢FFFF0000	Depth - ▢FF0000FF %1s ▢FFFFFFFF               ▢FFFF0000	Kedalaman - ▢FF0000FF %1s ▢FFFFFFFF               ▢FFFF0000	ความลึก - ▢FF0000FF %1s ▢FFFFFFFF               ▢FFFF0000	Depth - ▢FF0000FF %1s ▢FFFFFFFF               ▢FFFF0000	Depth - ▢FF0000FF %1s ▢FFFFFFFF               ▢FFFF0000	深さ - ▢FF0000FF %1s ▢FFFFFFFF▢FFFF0000	Głębokość - ▢FF0000FF %1s ▢FFFFFFFF ▢FFFF0000
138	SandDiggerDeepAndHp		深度 - ▢FF0000FF %1s ▢FFFFFFFF/ 生命值 - ▢FFFF0000%2s	Depth - ▢FF0000FF %1s ▢FFFFFFFF/ HP - ▢FFFF0000%2s	Profundidade -▢FF0000FF%1s▢FFFFFFFF / HP -▢FFFF0000%2s	Глубина - ▢FF0000FF %1s ▢FFFFFFFF/ HP - ▢FFFF0000%2s	Depth - ▢FF0000FF %1s ▢FFFFFFFF/ HP - ▢FFFF0000%2s	Depth - ▢FF0000FF %1s ▢FFFFFFFF/ HP - ▢FFFF0000%2s	Depth - ▢FF0000FF %1s ▢FFFFFFFF/ HP - ▢FFFF0000%2s	Depth - ▢FF0000FF %1s ▢FFFFFFFF/ HP - ▢FFFF0000%2s	Depth - ▢FF0000FF %1s ▢FFFFFFFF/ HP - ▢FFFF0000%2s	Kedalaman - ▢FF0000FF %1s ▢FFFFFFFF/ HP - ▢FFFF0000%2s	ความลึก - ▢FF0000FF %1s ▢FFFFFFFF/ HP - ▢FFFF0000%2s	Depth - ▢FF0000FF %1s ▢FFFFFFFF/ HP - ▢FFFF0000%2s	Depth - ▢FF0000FF %1s ▢FFFFFFFF/ HP - ▢FFFF0000%2s	深さ - ▢FF0000FF %1s ▢FFFFFFFF/ HP - ▢FFFF0000%2s	Głębokość - ▢FF0000FF %1s ▢FFFFFFFF/ HP - ▢FFFF0000%2s
139	SandDiggerChestName1		普通宝箱	Normal Chest	Baú Normal	Обычный Сундук	Normal Chest	Normal Chest	Normal Chest	Normal Chest	Normal Chest	Peti Biasa	กล่องเพชรธรรมดา	Normal Chest	Normal Chest	普通の宝箱	Normalna Pudełko
140	SandDiggerChestName2		铁质宝箱	Iron Chest	Baú de ferro	Железный Сундук	Iron Chest	Iron Chest	Iron Chest	Iron Chest	Iron Chest	Peti Besi	กล่องเพชรเหล็ก	Iron Chest	Iron Chest	鉄の宝箱	Żelazna Pudełko
141	SandDiggerChestName3		银宝箱	Silver Chest	Baú de prata	Серебряный Сундук	Silver Chest	Silver Chest	Silver Chest	Silver Chest	Silver Chest	Peti Silver	กล่องเพชรเงิน	Silver Chest	Silver Chest	シルバーボックス	Srebrna Pudełko
142	SandDiggerChestName4		金宝箱	Gold Chest	Baú de Ouro	Золотой Сундук	Gold Chest	Gold Chest	Gold Chest	Gold Chest	Gold Chest	Peti Emas	กล่องเพชรทอง	Gold Chest	Gold Chest	ゴールドボックス	Złota Pudełko
143	RespawnMsg		%1s▢FF00FFFF复活了。▥	%1s▢FF00FFFF respawn.▥	%1s▢FF00FFFF Renasçer. ▥	%1s▢FF00FFFF возродился.▢	%1s▢FF00FFFF respawn.▥	%1s▢FF00FFFF respawn.▥	%1s▢FF00FFFF respawn.▥	%1s▢FF00FFFF respawn.▥	%1s▢FF00FFFF respawn.▥	%1s▢FF00FFFF kelahiran kembali.▢	%1s▢FF00FFFFฟื้นขึ้นมาใหม่。▢	%1s▢FF00FFFF respawn.▥	%1s▢FF00FFFF respawn.▥	%1s▢FF00FFFFが復活しました.	%1s▢FF00FFFF respawn.▥
144	Chicken		绝地战场	Battle Field	Battle Field	Battle Field	Battle Field	Battle Field	Battle Field	Battle Field	Battle Field	Battle Field	Battle Field	Battle Field	Battle Field	Battle Field	Battle Field
145	ChickenSafeAreaTimeTip		▢FF00FFFF%1s秒后产生安全区	▢FF00FFFFSave Area confirmed after %1s seconds	▢FF00FFFFSalvar área confirmada após%1s segundos	▢FF00FFFFБезопасная Зона будет подтверджена через %1s секунд	▢FF00FFFFSave Area confirmed after %1s seconds	▢FF00FFFFSave Area confirmed after %1s seconds	▢FF00FFFFSave Area confirmed after %1s seconds	▢FF00FFFFSave Area confirmed after %1s seconds	▢FF00FFFFSave Area confirmed after %1s seconds	▢FF00FFFFArea aman dikonfirmasi setelah %1s detik	▢FF00FFFFหลัง%1sวินาทีจะมีเขตปลอดภัย	▢FF00FFFFSave Area confirmed after %1s seconds	▢FF00FFFFSave Area confirmed after %1s seconds	▢FF00FF00%1s秒後の安全地帯	▢FF00FFFFZapisz obszar potwierdzony po %1s sekundach
146	ChickenPrepareSafeAreaTip		▢FF00FFFF安全区已产生	▢FF00FFFFSave Area confirmed	▢FF00FFFFConfirmação da zona de segurança	▢FF00FFFFБезопасная Зона подтверждена	▢FF00FFFFSave Area confirmed	▢FF00FFFFSave Area confirmed	▢FF00FFFFSave Area confirmed	▢FF00FFFFSave Area confirmed	▢FF00FFFFSave Area confirmed	▢FF00FFFFArea aman telah terkonfirmasi	▢FF00FFFFมีเขตปลอดภัยแล้ว	▢FF00FFFFSave Area confirmed	▢FF00FFFFSave Area confirmed	▢FF00FF00安全地帯が生産されました	▢FF00FFFFZapisz obszar potwierdzony
147	ChickenPoisonAreaTimeTip		▢FF00FFFF%1s秒后缩小毒圈	▢FF00FFFFPoison circle will shrink in %1s seconds	▢FF00FFFFCírculo encolherá em%1s segundos	▢FF00FFFFЗона отравления будет сужена через %1s секунд	▢FF00FFFFPoison circle will shrink in %1s seconds	▢FF00FFFFPoison circle will shrink in %1s seconds	▢FF00FFFFPoison circle will shrink in %1s seconds	▢FF00FFFFPoison circle will shrink in %1s seconds	▢FF00FFFFPoison circle will shrink in %1s seconds	▢FF00FFFFLingkaran beracun akan mengecil saat %1s detik	▢FF00FFFF%1sหลัง%1sวินาทีวงพิษจะหดแคบลง	▢FF00FFFFPoison circle will shrink in %1s seconds	▢FF00FFFFPoison circle will shrink in %1s seconds	▢FF00FF00%1s秒後にポイズンサークルを減らしてください	▢FF00FFFFPoison circle będzie się zmniejszał w %1s sekund
148	ChickenPreparePoisonAreaTip		▢FF00FFFF毒圈开始缩小	▢FF00FFFFPoison circle is now shrinking!	▢FF00FFFFO círculo está encolhendo!	▢FF00FFFFЗона отравления сужается	▢FF00FFFFPoison circle is now shrinking!	▢FF00FFFFPoison circle is now shrinking!	▢FF00FFFFPoison circle is now shrinking!	▢FF00FFFFPoison circle is now shrinking!	▢FF00FFFFPoison circle is now shrinking!	▢FF00FFFFLingkaran beracun mengecil sekarang	▢FF00FFFFวงพิษเริ่มหดแคบลง	▢FF00FFFFPoison circle is now shrinking!	▢FF00FFFFPoison circle is now shrinking!	▢FF00FF00ポイズンサークルが縮小し始める	▢FF00FFFFKrąg trucizny kurczy się!
149	ChickenAirSupportTimeTip		▢FF00FFFF空投将在%1s秒后投放到地图中	▢FF00FFFFSupplys will spawn in %1s seconds	▢FF00FFFFItens aparecerão em%1s segundos	▢FF00FFFFНебесная посылка появится через %1s секунд	▢FF00FFFFSupplys will spawn in %1s seconds	▢FF00FFFFSupplys will spawn in %1s seconds	▢FF00FFFFSupplys will spawn in %1s seconds	▢FF00FFFFSupplys will spawn in %1s seconds	▢FF00FFFFSupplys will spawn in %1s seconds	▢FF00FFFFBarang-barang akan muncul saat %1s detik	▢FF00FFFFการทิ้งลงจากอากาศจะลงไปในแผนที่หลัง%1sวินาที	▢FF00FFFFSupplys will spawn in %1s seconds	▢FF00FFFFSupplys will spawn in %1s seconds	▢FF00FF00エアドロップは%1s秒後にマップ上に配置されます	▢FF00FFFFSupplys pojawi się w %1s sekund
150	ChickenPrepareAirSupportTip		▢FF00FFFF空投已投放,注意小地图	▢FF00FFFFSupplys arrived , Check your mini-map !	▢FF00FFFFSupplys chegaram	▢FF00FFFFНебесная посылка появилась, проверьте вашу мини-карту!	▢FF00FFFFSupplys arrived , Check your mini-map !	▢FF00FFFFSupplys arrived , Check your mini-map !	▢FF00FFFFSupplys arrived , Check your mini-map !	▢FF00FFFFSupplys arrived , Check your mini-map !	▢FF00FFFFSupplys arrived , Check your mini-map !	▢FF00FFFFBarang-barang telah datang , cek peta mini anda !	▢FF00FFFFการทิ้งลงจากอากาศได้ลงไปแล้ว สังเกตแผนที่เล็ก	▢FF00FFFFSupplys arrived , Check your mini-map !	▢FF00FFFFSupplys arrived , Check your mini-map !	▢FF00FF00小さな地図に注意を払う	▢FF00FFFFWysyłano dostawy, sprawdź swoją mini-mapę!
151	ChickenPoisonAttackTip		▢FFFF0000你已远离安全区,请尽快赶往	▢FFFF0000You are far away from the safety zone	▢FFFF0000Você está longe da zona de segurança	▢FFFF0000Вы слишком далеко от безопасной зоны	▢FFFF0000You are far away from the safety zone	▢FFFF0000You are far away from the safety zone	▢FFFF0000You are far away from the safety zone	▢FFFF0000You are far away from the safety zone	▢FFFF0000You are far away from the safety zone	▢FFFF0000Anda jauh dari zona aman	▢FFFF0000คุณได้ห่างไกลจากเขตปลอดภัยแล้ว โปรดรีบไปที่เขตปลอดภัย	▢FFFF0000请尽快赶往安全区	▢FFFF0000You are far away from the safety zone	▢FFFF0000あなたは安全な場所から遠く離れています、できるだけ早く急いでください	▢FFFF0000Jesteś daleko od strefy bezpieczeństwa
152	JailBreakPoliceLevelUp		▢FFFEFE49你的功勋值达标，升职为▢FF48A7FF%1s，每日工资上限提升了！	▢FFFEFE49You become ▢FF0000FF%1s	▢FFFEFE49Você se torna▢FF0000FF%1s	▢FFFEFE49Вы стали ▢FF0000FF%1s	▢FFFEFE49You become ▢FF0000FF%1s	▢FFFEFE49You become ▢FF0000FF%1s	▢FFFEFE49You become ▢FF0000FF%1s	▢FFFEFE49You become ▢FF0000FF%1s	▢FFFEFE49You become ▢FF0000FF%1s	▢FFFEFE49Anda berubah menjadi ▢FF0000FF%1s	▢FFFEFE49ค่าคุณูปการของคุณสมมาตรฐาน，ขึ้นตำแหน่งเป็น▢FF48A7FF%1s，ขอบเขตบนสุดของเงินรายวันได้ยกขึ้นแล้ว!	▢FFFEFE49You become ▢FF0000FF%1s	▢FFFEFE49You become ▢FF0000FF%1s	▢FFFEFE49プロモーション:▢FF48A7FF%1s,毎日の給与の上限は引き上げられました!	▢FFFEFE49Zostaniesz ▢FF0000FF%1s
153	JailBreakCriminalLevelUp		▢FFFEFE49你的悬赏等级被提升为▢FFFF7878%1s	▢FFFEFE49Your wanted rank become ▢FFFF0000%1s	▢FFFEFE49A sua classificação desejada se torna▢FFFF0000%1s	▢FFFEFE49Ваш рейтинг преступника равен ▢FFFF0000%1s	▢FFFEFE49Your wanted rank become ▢FFFF0000%1s	▢FFFEFE49Your wanted rank become ▢FFFF0000%1s	▢FFFEFE49Your wanted rank become ▢FFFF0000%1s	▢FFFEFE49Your wanted rank become ▢FFFF0000%1s	▢FFFEFE49Your wanted rank become ▢FFFF0000%1s	▢FFFEFE49Peringkat Wanted anda menjadi ▢FFFF0000%1s	▢FFFEFE49เกรดรางวัลของคุณถูกยกขึ้นเป็น▢FFFF7878%1s	▢FFFEFE49Your wanted rank become ▢FFFF0000%1s	▢FFFEFE49Your wanted rank become ▢FFFF0000%1s	▢FFFEFE49あなたの報酬レベルは▢FFFF7878%1sにアップグレードされました	▢FFFEFE49Twoja poszukiwana ranga staje się ▢FFFF0000%1s
154	JailBreakBankAddWage		你获得了▢FF0000FF%1s▥，今天还可以得到▢FF0000FF%2s▥	You have got ▢FF0000FF%1s▥,▢FF0000FF%2s left today	Você obteve ▢FF0000FF%1s▥	У вас ▢FF0000FF%1s▢,▢FF0000FF%2s осталось на сегодня	You have got ▢FF0000FF%1s▥,▢FF0000FF%2s left today	You have got ▢FF0000FF%1s▥,▢FF0000FF%2s left today	You have got ▢FF0000FF%1s▥,▢FF0000FF%2s left today	You have got ▢FF0000FF%1s▥,▢FF0000FF%2s left today	You have got ▢FF0000FF%1s▥,▢FF0000FF%2s left today	Anda sudah dapat ▢FF0000FF%1s▥,▢FF0000FF%2s tersisa hari ini	คุณได้รับ▢▢FF0000FF%1s▥，วันนี้ยังสามารถได้▢▢FF0000FF%2s	You have got ▢FF0000FF%1s▥,▢FF0000FF%2s left today	You have got ▢FF0000FF%1s▥,▢FF0000FF%2s left today	取得したもの:▢FF0000FF%1s 今日の残りのもの:▢FF0000FF%2s	Otrzymany dzisiaj :▢FF0000FF%1s, Pozostałe : ▢FF0000FF%2s
155	HideAndSeekName	HideAndSeek	躲猫猫大作战	Hide And Seek	Hide And Seek	Hide And Seek	Hide And Seek	Hide And Seek	Hide And Seek	Hide And Seek	Hide And Seek	Hide and Seek	Hide and Seek	Hide And Seek	Hide And Seek	Hide and Seek	Hide And Seek
156	HideAndSeekRoleHide		躲藏者	Hide	Esconder	Прячущиеся	Hide	Hide	Hide	Hide	Hide	Sembunyi	ผู้ซ่อน	Hide	Hide	隠れた	Ukryć
157	HideAndSeekRoleSeek		搜寻者	Seek	Procurador	Искатели	Seek	Seek	Seek	Seek	Seek	Mencari	ผู้หา	Seek	Seek	サーチャー	Szukać
158	HideAndSeekBecomeHideHint		▢FF00FF00快藏好，不要被找到了	▢FF00FF00Hide yourself now!	▢FF00FF00 Esconda-se agora!	▢FF00FF00Прячьтесь!	▢FF00FF00Hide yourself now!	▢FF00FF00Hide yourself now!	▢FF00FF00Hide yourself now!	▢FF00FF00Hide yourself now!	▢FF00FF00Hide yourself now!	▢FF00FF00Sembunyikan diri anda sekarang!	▢FF00FF00รีบซ่อนให้ดี อย่าให้หาได้	▢FF00FF00Hide yourself now!	▢FF00FF00Hide yourself now!	▢FF00FF00それを保管しなさい、見つけられない.	▢FF00FF00Ukryj się teraz!
159	HideAndSeekChangeAndHide		▢FF00FF00你有▢FFFF0000%1s秒▢FF00FF00的时间改变造型并且躲藏起来	▢FF00FF00You have▢FFFF0000%1s seconds▢FF00FF00to change and hide yourself	▢FF00FF00Você tem▢FFFF0000%1s segundos▢FF00FF00para mudar e se esconder	▢FF00FF00У вас есть▢FFFF0000%1s секунд▢FF00FF00чтобы изменить предмет и спрятаться	▢FF00FF00You have▢FFFF0000%1s seconds▢FF00FF00to change and hide yourself	▢FF00FF00You have▢FFFF0000%1s seconds▢FF00FF00to change and hide yourself	▢FF00FF00You have▢FFFF0000%1s seconds▢FF00FF00to change and hide yourself	▢FF00FF00You have▢FFFF0000%1s seconds▢FF00FF00to change and hide yourself	▢FF00FF00You have▢FFFF0000%1s seconds▢FF00FF00to change and hide yourself	▢FF00FF00Anda memiliki▢FFFF0000%1s detik▢FF00FF00untuk berubah dan bersembunyi sendiri 	▢FF00FF00คุณมี▢FFFF0000%1sวินาที▢FF00FF00เวลาที่เปลี่ยนรูปทรงและศ่อนตัว	▢FF00FF00You have▢FFFF0000%1s seconds▢FF00FF00to change and hide yourself	▢FF00FF00You have▢FFFF0000%1s seconds▢FF00FF00to change and hide yourself	▢FF00FF00時間を隠す:▢FFFF0000%1s	▢FF00FF00Ukryj czas:▢FFFF0000%1s sekund
160	HideAndSeekSeekWaitHint		▢FF00FF00暂时不能移动，等待躲藏者躲藏好，剩余▢FFFF0000%1s秒	▢FF00FF00Cannot move temporarily until hiders get ready, ▢FFFF0000%1s▢ seconds left	▢FF00FF00Não é possível mover até que os hiders se preparem, ▢FFFF0000%1s▢ segundos restantes	▢FF00FF00Нельзя двигаться пока прячущиеся не будут готовы, ▢FFFF0000%1s▢ секунд осталось	▢FF00FF00Cannot move temporarily until hiders get ready, ▢FFFF0000%1s▢ seconds left	▢FF00FF00Cannot move temporarily until hiders get ready, ▢FFFF0000%1s▢ seconds left	▢FF00FF00Cannot move temporarily until hiders get ready, ▢FFFF0000%1s▢ seconds left	▢FF00FF00Cannot move temporarily until hiders get ready, ▢FFFF0000%1s▢ seconds left	▢FF00FF00Cannot move temporarily until hiders get ready, ▢FFFF0000%1s▢ seconds left	▢FF00FF00Tidak bisa bergerak sementara hingga pengumpet telah siap ▢FFFF0000%1s▢ detik tersisa	▢FF00FF00ไม่สามารถเคลื่อนที่เป็นชั่วคราว รอผู้ซ่อนได้ซ่อนให้เรียบร้อย เหลือ▢FFFF0000%1sวินาที	▢FF00FF00Cannot move temporarily until hiders get ready, ▢FFFF0000%1s▢ seconds left	▢FF00FF00Cannot move temporarily until hiders get ready, ▢FFFF0000%1s▢ seconds left	▢FF00FF00隠れている人が隠れるのを待って、一時的に動くことができず、残りの▢FFFF0000%1s秒	▢FF00FF00Nie można się tymczasowo poruszać, dopóki hiders się nie przygotują, ▢FFFF0000 Zostało%1s▢ sekund
161	HideAndSeekNoStart		▢FF00FFFF游戏还没开始，暂时不能变化造型	▢FF00FFFFCannot change until game starts	▢FF00FFFFNão pode mudar até o início do jogo	▢FF00FFFFНевозможно измениться пока не началась игра	▢FF00FFFFCannot change until game starts	▢FF00FFFFCannot change until game starts	▢FF00FFFFCannot change until game starts	▢FF00FFFFCannot change until game starts	▢FF00FFFFCannot change until game starts	▢FF00FFFFTidak bisa berubah sampai permainan dimulai	▢FF00FFFFเกมยังไม่เริ่ม ไม่สามารถเปลี่ยนรูปทรงเป็นชั่วคราว	▢FF00FFFFCannot change until game starts	▢FF00FFFFCannot change until game starts	▢FF00FF00ゲームはまだ始まっていません.	▢FF00FFFFNie można zmienić, dopóki nie rozpocznie się gra
162	HideAndSeekNoTimes		▢FF00FFFF一局游戏只能变化%1s次造型	▢FF00FFFF%1s times to change  in one game	▢FF00FFFF%1s vezes para mudar em um jogo	▢FF00FFFF%1s раз чтобы измениться в одной игре	▢FF00FFFF%1s times to change  in one game	▢FF00FFFF%1s times to change  in one game	▢FF00FFFF%1s times to change  in one game	▢FF00FFFF%1s times to change  in one game	▢FF00FFFF%1s times to change  in one game	▢FF00FFFF%1s waktu untuk berubah dalam satu permainan	▢FF00FFFFเกมรอบหนึ่งแค่สามารถเปลี่ยนรูปทรง%1sวินาที	▢FF00FFFF%1s times to change  in one game	▢FF00FFFF%1s times to change  in one game	▢FF00FF00ゲームは%1s回しか変更できません	▢FF00FFFF%1s razy do zmiany w jednej grze
163	HideAndSeekNoHide		▢FF00FFFF只有躲藏者才能变身	▢FF00FFFFOnly hiders can change appearance	▢FF00FFFFOs escondedores podem mudar a aparência	▢FF00FFFFТолько прячущиеся могут изменять предмет	▢FF00FFFFOnly hiders can change appearance	▢FF00FFFFOnly hiders can change appearance	▢FF00FFFFOnly hiders can change appearance	▢FF00FFFFOnly hiders can change appearance	▢FF00FFFFOnly hiders can change appearance	▢FF00FFFFHanya penyembunyi yang dapat merubah penampilan	▢FF00FFFFมีแค่ผู้ซ่อนเท่านั้นที่จะเปลี่ยนตัวได้	▢FF00FFFFOnly hiders can change appearance	▢FF00FFFFOnly hiders can change appearance	▢FF00FF00隠れている人だけが変身できます	▢FF00FFFFTylko hider może zmienić wygląd
